bet_id,created_at,turnover,payout_multiplier,user_id,game_name
EDIEDZRK488110,1/12/2024 3:10:00,78.49,0,6,Sugar 1000
MYLFQUNS502568,2/12/2024 12:57:00,36.79,187.17,6,Sweet mint
MMNBBTVC951017,11/12/2024 10:07:00,25.43,0,6,Sugar 1000
DWSBRNAI764424,1/8/2025 23:08:00,121.52,0,6,Rainbow candy
FSCYNYIK173217,2/2/2025 20:22:00,65.62,136.97,6,Sweet mint
ROCMUNTH811259,3/6/2025 21:50:00,130.87,186.19,6,Sugar 1000
OLRCUIHS200516,4/1/2025 12:27:00,5.4,161.4,6,Rainbow candy
YUMAHGRC500364,4/2/2025 5:19:00,74.07,53.33,6,Sweet mint
TNVYTNZS574878,4/4/2025 11:43:00,31.68,0,6,Sweet mint
KXQXZQBG851253,4/7/2025 10:54:00,50.31,0,6,Sugar 1000
KHLGRKYT451212,5/1/2025 5:59:00,16.57,21.07,6,Sweet mint
TQHDAGRO195167,6/3/2025 5:35:00,59.18,71.72,6,Sugar 1000
TLFSOSDA653769,7/3/2025 6:58:00,137.06,0,6,Sugar 1000
UIFIZHCM179181,7/4/2025 20:40:00,79.27,0,6,Rainbow candy
VAQFBMYO121153,8/1/2025 7:42:00,54.27,69.79,6,Sugar 1000
XBLDQRWZ751154,8/1/2025 7:43:00,3.82,249.47,6,Sweet mint
SOXTRYSX413782,8/1/2025 7:44:00,145.56,0,6,Sweet mint
DZHEOILY488741,8/1/2025 7:46:00,36.26,0,6,Sweet mint
VCIKMGAM620890,8/1/2025 7:46:00,108.8,120.67,6,Rainbow candy
ZIJSNVVS945828,8/1/2025 7:47:00,103.08,0,6,Sweet mint
ZKKEDEIJ074940,8/1/2025 7:47:00,1.87,37.7,6,Rainbow candy
MGENLMXS933528,8/1/2025 7:48:00,89.87,160.25,6,Rainbow candy
ZFKJUUNE361723,8/1/2025 7:48:00,128.08,0,6,Sugar 1000
PTMYAYPF914708,8/1/2025 7:49:00,121.35,0,6,Sugar 1000
ALJYNGCJ551235,8/1/2025 7:50:00,34.42,29.68,6,Rainbow candy
TGWXRODV518824,8/1/2025 7:50:00,6.77,0,6,Sweet mint
GSRXHVRX330328,8/1/2025 7:52:00,81.23,0,6,Sweet mint
RCJKIELP817638,8/1/2025 7:52:00,12.93,219.78,6,Rainbow candy
NBZTDVTS216430,8/1/2025 7:54:00,1.1,146.33,6,Sweet mint
VDQEAKTP575404,8/1/2025 7:56:00,90.43,79.03,6,Sugar 1000
