transaction_id,currency_type,usd_value,deposited_date,deposited_time,user_id
8OPQU2S013343609,crypto,18849.83,28/11/2024,15:35:10,1
6UCNMHEFVM469903,crypto,31765.44,28/11/2024,16:05:30,1
BGXJ5ZX52T935180,crypto,52408.6,28/11/2024,16:16:59,1
LATKB6J1LU627954,crypto,42501.48,28/11/2024,16:19:09,1
JUG1RMVHNX952627,crypto,27381.89,28/11/2024,16:34:17,1
CFZ78394GH572824,crypto,33623.35,28/11/2024,16:44:34,1
EFLBZNMCSX881194,crypto,27607.32,28/11/2024,16:57:53,1
S4QY8NEWPK216591,crypto,39696.73,28/11/2024,16:58:22,1
X7IKW3I2Q3900508,crypto,39360.17,28/11/2024,17:43:44,1
RRGCBVBJJ9005824,crypto,15535.24,28/11/2024,18:09:48,1
0CC418F63K860169,crypto,30784.59,28/11/2024,18:44:36,1
3TXECZ5QSC190138,crypto,12961.56,28/11/2024,19:26:56,1
GUNEBLBAA4782002,crypto,30536.17,28/11/2024,19:33:42,1
RYE1WW00C3882660,crypto,17666.67,28/11/2024,20:21:11,1
4UWIUL0551846100,crypto,35994.51,28/11/2024,21:04:18,1
V31SHENZKV663569,crypto,18688.98,28/11/2024,22:42:37,1
VDJ23S1OG2562643,crypto,6731.81,28/11/2024,23:43:30,1
6ABFWG5XTD121200,crypto,41444.95,28/11/2024,23:44:29,1
J73Y6WWPXI151116,crypto,5676.99,29/11/2024,0:32:39,1
PV51C8G3Z7355959,crypto,18953.02,29/11/2024,1:13:30,1
ISW2L2B4A1223343,crypto,10222.07,29/11/2024,1:29:07,1
VBP4HDYYOG980081,crypto,12048.85,29/11/2024,2:52:49,1
BIAOST6RFE151149,crypto,7896.51,29/11/2024,3:09:35,1
V7QWRW3VHW323580,crypto,21534.2,29/11/2024,3:33:22,1
AJFLII2UPP287333,crypto,8854.68,29/11/2024,5:04:29,1
42PYT7MX3Q117398,crypto,3664.23,29/11/2024,5:11:42,1
297WKUQW5G665814,crypto,21423.34,29/11/2024,5:22:44,1
A1YT9SUNG3135353,crypto,58394.83,29/11/2024,5:33:42,1
MR1VLF4ODK614698,crypto,14016.97,29/11/2024,6:58:22,1
D8R8C4WAHA674986,crypto,42579.63,29/11/2024,7:53:12,1
GJSLXQVCI6496718,crypto,16766.66,29/11/2024,8:52:58,1
UWMG5ITGYS329889,crypto,25654.76,29/11/2024,9:24:06,1
IUEHFVMAAQ216537,crypto,26408.24,29/11/2024,10:26:13,1
IRNXYW5T0O229514,crypto,1113.33,29/11/2024,11:34:51,1
Y4NCNMD7AC701283,crypto,42144.04,29/11/2024,11:56:06,1
369Q9L7S0K844424,crypto,36829.33,29/11/2024,13:23:30,1
1M8CM7BO7R258509,crypto,35969.27,29/11/2024,14:18:21,1
OROY2QCJIT585731,crypto,43358.63,29/11/2024,14:49:00,1
3PZ0ZXEZ8W040439,crypto,43567.9,29/11/2024,14:52:30,1
0VT19VYFWQ396546,crypto,48622.07,29/11/2024,15:16:12,1
93Z8RTL4UM567699,crypto,53605.77,29/11/2024,17:42:18,1
YAN8QT8550251716,crypto,56173.25,15/1/2025,10:41:43,1
ODEKI988W2667389,crypto,44005.05,22/1/2025,23:44:28,1
