Order ID,Date,Account,Aminu SKU,Qty,Appoint. Date,Category,Unit Price,Treat Disc,Retail Disc,Base Price,GST,Final Price,Check (R/T),,,,,,,,,,,,,,,,
2500,01-Nov-25,A,FG - AHA Face Wash - 100ml,1,12-Nov-25,Cleanser,1228.81,,36.00%,786.44,141.56,928,FALSE,,,,,,,,,,,,,,,,
2500,01-Nov-25,A,FG - Sea Salt Body Scrub - 200ml,1,12-Nov-25,Body,2245.76,,36.00%,"1,437.29",258.71,1696,FALSE,,,,,,,,,,,,,,,,
2500,01-Nov-25,A,FG - Radiance Face Oil - 30ml,1,12-Nov-25,Oil,3008.47,,36.00%,"1,925.42",346.58,2272,FALSE,,,,,,,,,,,,,,,,
2500,01-Nov-25,A,FG - Melting Balm Cleanser - 50ml,1,12-Nov-25,Cleanser,1016.95,,36.00%,650.85,117.15,768,FALSE,,,,,,,,,,,,,,,,
2500,01-Nov-25,A,FG - Copper Peptide Serum - 30ml,3,12-Nov-25,Serum,3898.31,,36.00%,"7,484.75",1347.25,8832,FALSE,,,,,,,,,,,,,,,,
2500,01-Nov-25,A,FG - VitC Body Oil - 100ml,11,12-Nov-25,Body,1144.07,,36.00%,"8,054.24",1449.76,9504,FALSE,,,,,,,,,,,,,,,,
2500,01-Nov-25,A,FG - Eye Serum - 10ml,19,12-Nov-25,Serum,1567.8,,36.00%,"19,064.41",3431.59,22496,FALSE,,,,,,,,,,,,,,,,
2501,04-Nov-25,B,FG - Milky Mineral Sunscreen - 5ml,100,11-Nov-25,SPF,0,,36.00%,0,0,0,FALSE,,,,,,,,,,,,,,,,
2502,05-Nov-25,C,FG - Milky Mineral Sunscreen - 5ml,70,11-Nov-25,SPF,0,,36.00%,0,0,0,FALSE,,,,,,,,,,,,,,,,
2503,05-Nov-25,D,FG - Milky Mineral Sunscreen - 5ml,70,11-Nov-25,SPF,0,,36.00%,0,0,0,FALSE,,,,,,,,,,,,,,,,
2504,03-Nov-25,A,FG - Milky Mineral Sunscreen - 5ml,60,11-Nov-25,SPF,0,,36.00%,0,0,0,FALSE,,,,,,,,,,,,,,,,
2505,03-Nov-25,E,FG - Milky Mineral Sunscreen - 5ml,30,11-Nov-25,SPF,0,,36.00%,0,0,0,FALSE,,,,,,,,,,,,,,,,
2506,04-Nov-25,F,FG - Milky Mineral Sunscreen - 5ml,50,05-Nov-25,SPF,0,,36.00%,0,0,0,FALSE,,,,,,,,,,,,,,,,
2507,04-Nov-25,F,FG - Radiance Face Oil - 30ml,5,05-Nov-25,Oil,3008.47,,36.00%,"9,627.12",1732.88,11360,FALSE,,,,,,,,,,,,,,,,
2507,04-Nov-25,F,FG - VitB Body Lotion - 100ml,2,05-Nov-25,Body,1398.31,,36.00%,"1,789.83",322.17,2112,FALSE,,,,,,,,,,,,,,,,
2508,04-Nov-25,F,FG - Milky Mineral Sunscreen - 5ml,110,05-Nov-25,SPF,0,,36.00%,0,0,0,FALSE,,,,,,,,,,,,,,,,
2509,06-Nov-25,G,FG - Milky Mineral Sunscreen - 5ml,50,12-Nov-25,SPF,0,,36.00%,0,0,0,FALSE,,,,,,,,,,,,,,,,
2510,06-Nov-25,H,FG - Milky Mineral Sunscreen - 5ml,50,12-Nov-25,SPF,0,,36.00%,0,0,0,FALSE,,,,,,,,,,,,,,,,
2511,10-Nov-25,A,FG - Milky Mineral Sunscreen - 5ml,50,18-Nov-25,SPF,0,,36.00%,0,0,0,FALSE,,,,,,,,,,,,,,,,
2512,10-Nov-25,B,FG - Milky Mineral Sunscreen - 5ml,60,18-Nov-25,SPF,0,,36.00%,0,0,0,FALSE,,,,,,,,,,,,,,,,
2513,04-Nov-25,G,FG - Milky Mineral Sunscreen - 5ml,50,11-Nov-25,SPF,0,,36.00%,0,0,0,FALSE,,,,,,,,,,,,,,,,
2514,04-Nov-25,I,FG - Milky Mineral Sunscreen - 5ml,80,11-Nov-25,SPF,0,,36.00%,0,0,0,FALSE,,,,,,,,,,,,,,,,
