STATE/UT,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25
ALL INDIA TOTAL,21846.5,23764.9,26174.5,28284.4,29975.5,27969,30849,34976.4,37219.4,40004.5
ANDAMAN & NICOBAR,14,15.1,16.8,18.1,18.9,13.8,15.7,19.4,20.2,21.8
ANDHRA PRADESH,844.9,944.5,1061.8,1161.9,1278.4,1321.9,1419.4,1504.1,1571.4,1627.3
ARUNACHAL PRADESH,31.4,35.4,39.9,46.2,51.8,50.6,55.4,66.7,78,89.7
ASSAM,267.4,307.8,356.7,411.6,445.1,431.9,510,611.2,668.1,720.1
BIHAR,545.4,610.1,697,793,852.1,848.9,926.7,1034.3,1081.7,1161.2
CHANDIGARH,100.7,96.9,104.6,122.6,126.8,91.4,110,114.4,119.8,129.4
CHHATTISGARH,418.2,452.8,517.8,559.6,613.1,604.3,660.9,743.4,798.1,881.4
DADRA & NAGAR HAVELI AND DAMAN & DIU,35.4,40.2,42.9,42.8,38.9,30,38.6,44.2,46.3,47.9
DELHI,901.5,906.1,926.7,903.1,876,668.8,693.3,899.5,960.3,1035.3
GOA,151.3,162.2,174.6,183.6,186.1,145.1,167,204.7,216.6,227.1
GUJARAT,1526,1665.6,1817.2,1976,2066.8,1860.2,2134,2397.8,2546.1,2701.2
HARYANA,782.8,873.3,937.9,978.5,1029.4,1011.6,1113.7,1203.3,1289.9,1430.3
HIMACHAL PRADESH,162.9,183.1,207.9,224.6,238,233.1,272.3,306.4,320.8,356.9
JAMMU & KASHMIR,199.6,209.6,249.3,274.7,300.4,273.1,316.3,354.7,380.2,412.9
JHARKHAND,349.4,375.1,425.2,487,526.5,512.5,574.1,660.3,693,756.3
KARNATAKA,1664,1799.1,1974.3,2142.7,2270.5,2123.9,2235,2648.1,2899.4,3054.3
KERALA,1129.8,1238,1380.9,1462.6,1558.8,1371.1,1495.8,1747.6,1791.5,1879.4
LADAKH,0,0,0,0,3.6,12.5,16.8,20.3,21.7,22.4
LAKSHADWEEP,0,0,0,0,0,0,0,0.7,1.3,1.5
MADHYA PRADESH,1037.7,1109.5,1257.4,1372.1,1463.7,1461.1,1542.7,1705.3,1825.1,1955.2
MAHARASHTRA,2836.5,3025,3225.6,3358.1,3462,3014.4,3387.6,3815.2,4068,4370.5
MANIPUR,43.5,41.8,54,61.2,68.2,62.1,67.5,88.4,75.5,83.3
MEGHALAYA,65.3,73,85.5,93.7,99.8,81.3,95.5,124.6,135.5,146.8
MIZORAM,23.6,24.9,25.4,28.2,31.2,26,26,35.4,42.7,59.3
NAGALAND,26.3,34.4,37.3,36.8,39.2,31.9,40.9,51.2,58.5,59.8
ODISHA,553.8,614.9,703.8,775.9,834.5,782.4,863.9,992.5,1058.6,1156.3
PUDUCHERRY,113.1,120.1,129.9,132.9,133.8,108.4,128.5,168.3,181.1,192.3
PUNJAB,745.3,805.9,847.3,879.2,960.2,888.4,1015.8,1133.5,1182.9,1252.4
RAJASTHAN,1183.5,1298.3,1440.3,1550.7,1657,1549.4,1621.5,1790.4,1896.4,2035.7
SIKKIM,16.1,16.5,17.5,19.7,21.1,15.8,19.4,26.5,28.9,30.5
TAMIL NADU,2052,2254.7,2420.7,2602,2735.4,2580.6,2758.1,3152.9,3352,3533.7
TELANGANA,915.4,976.8,1092.3,1198.8,1288.3,1199.5,1357.3,1541.4,1675.1,1801.2
TRIPURA,37.9,41.5,47.6,54.1,57.7,53.7,57.5,64.3,68.1,70.9
UTTAR PRADESH,2164.4,2423.4,2759.5,3119.2,3319.9,3210.1,3696.1,4103.4,4368.6,4832.8
UTTARAKHAND,252.9,263.8,286.9,309.2,326.3,293,338.4,410.2,438.7,488.6
WEST BENGAL,654.6,725.5,812.1,904.1,996.1,997.5,1076.9,1191.1,1259.1,1378.7
