EXPORT ,PRODUCT,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,JANUARY,FEBRUARY,MARCH
EXPORT,LPG,47,47,50,41,39,40,43,41,44,47,42,51
EXPORT,MS,1402,1157,1162,1109,1018,671,500,842,1242,1165,1379,1470
EXPORT,Naphtha,611,556,815,355,414,468,372,423,441,333,416,511
EXPORT,ATF,350,448,591,583,745,689,639,591,624,568,650,786
EXPORT,SKO,2,1,1,1,0,1,1,1,1,1,1,1
EXPORT,HSD,2698,3063,2456,2188,2365,2689,2062,1979,2413,1991,2150,2482
EXPORT,LDO,0,0,0,0,0,0,0,0,0,0,0,0
EXPORT,LOBS/ Lube Oil,5,0,1,1,0,1,0,1,1,1,0,1
EXPORT,Fuel Oil,42,77,127,186,221,156,229,159,248,179,76,141
EXPORT,Bitumen,0,0,1,0,0,2,2,0,0,0,0,3
EXPORT,Petcoke / CBFS,4,33,36,11,39,17,0,0,0,0,22,123
EXPORT,Others,275,300,267,214,398,254,123,229,684,215,320,435
EXPORT,TOTAL   EXPORT,5437,5682,5506,4689,5240,4987,3972,4266,5697,4501,5056,6006
