Unnamed: 0,State.Name,latitude,longitude,total_population,population_male,population_female
1,ANDAMAN & NICOBAR ISLANDS,11.66702557,92.73598262,100608,53247,47361
2,ANDHRA PRADESH,14.7504291,78.57002559,18171615,9192368,8979247
4,ASSAM,26.7499809,94.21666744,1391154,720132,671022
5,BIHAR,25.78541445,87.4799727,6714516,3558722,3155794
6,CHANDIGARH,30.71999697,76.78000565,960787,525226,435561
7,CHHATTISGARH,22.09042035,82.15998734,3137918,1612019,1525899
8,DNH,20.26657819,73.0166178,13039,8193,4846
9,DELHI,28.6699929,77.23000403,13481997,7201322,6280675
10,GOA,15.491997,73.81800065,1458545,739140,719405
11,HARYANA,28.45000633,77.01999101,5952223,3181968,2770255
12,HIMACHAL PRADESH,31.10002545,77.16659704,169758,93364,76394
13,J&K,34.29995933,74.46665849,1804987,953292,851695
14,JHARKHAND,23.80039349,86.41998572,4278259,2247819,2030440
15,KARNATAKA,12.57038129,76.91999711,15799896,8112840,7687056
16,KERALA,8.900372741,76.56999263,2755973,1335615,1420358
18,MADHYA PRADESH,21.30039105,76.13001949,11023091,5761143,5261948
19,MAHARASHTRA,19.25023195,73.16017493,37722136,19961736,17760400
20,MANIPUR,24.79997072,93.95001705,264986,128931,136055
21,MEGHALAYA,25.57049217,91.8800142,143007,70028,72979
22,MIZORAM,23.71039899,92.72001461,291822,143803,148019
23,NAGALAND,25.6669979,94.11657019,123777,65017,58760
24,ORISSA,19.82042971,85.90001746,3003234,1560423,1442811
25,PONDY,11.93499371,79.83000037,541801,266359,275442
26,PUNJAB,31.51997398,75.98000281,5821876,3106473,2715403
27,RAJASTHAN,26.44999921,74.63998124,10443016,5484470,4958546
28,SIKKIM,27.3333303,88.6166475,610577,323070,287507
29,TAMIL NADU,12.92038576,79.15004187,13879395,6957261,6922134
30,TRIPURA,23.83540428,91.27999914,399688,199616,200072
31,UTTAR PRADESH,27.59998069,78.05000565,25302925,13433369,11869556
32,UTTARAKHAND,30.32040895,78.05000565,1340397,706939,633458
33,WEST BENGAL,22.58039044,88.32994665,18063509,9357777,8705732
34,TELANGANA,17.123184,79.208824,35003674,,
35,AHMEDABAD,23.02579,72.58727,6361084,,
