Category,Title,Price_GBP,Rating,Value_Score,Inventory_Date
Travel,It's Only the Himalayas,45.17,2,0.044,2026-04-17
Travel,Full Moon over Noah’s Ark: An Odyssey to Mount Ararat and Beyond,49.43,4,0.081,2026-04-17
Travel,See America: A Celebration of Our National Parks & Treasured Sites,48.87,3,0.061,2026-04-17
Travel,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,2,0.054,2026-04-17
Travel,Under the Tuscan Sun,37.33,3,0.08,2026-04-17
Travel,A Summer In Europe,44.34,2,0.045,2026-04-17
Travel,The Great Railway Bazaar,30.54,1,0.033,2026-04-17
Travel,A Year in Provence (Provence #1),56.88,4,0.07,2026-04-17
Travel,The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21,1,0.043,2026-04-17
Travel,Neither Here nor There: Travels in Europe,38.95,3,0.077,2026-04-17
Travel,"1,000 Places to See Before You Die",26.08,5,0.192,2026-04-17
Mystery,Sharp Objects,47.82,4,0.084,2026-04-17
Mystery,"In a Dark, Dark Wood",19.63,1,0.051,2026-04-17
Mystery,The Past Never Ends,56.5,4,0.071,2026-04-17
Mystery,A Murder in Time,16.64,1,0.06,2026-04-17
Mystery,The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,4,0.091,2026-04-17
Mystery,The Last Mile (Amos Decker #2),54.21,2,0.037,2026-04-17
Mystery,That Darkness (Gardiner and Renner #1),13.92,1,0.072,2026-04-17
Mystery,Tastes Like Fear (DI Marnie Rome #3),10.69,1,0.094,2026-04-17
Mystery,A Time of Torment (Charlie Parker #14),48.35,5,0.103,2026-04-17
Mystery,A Study in Scarlet (Sherlock Holmes #1),16.73,2,0.12,2026-04-17
Mystery,Poisonous (Max Revere Novels #3),26.8,3,0.112,2026-04-17
Mystery,Murder at the 42nd Street Library (Raymond Ambler #1),54.36,4,0.074,2026-04-17
Mystery,Most Wanted,35.28,3,0.085,2026-04-17
Mystery,Hide Away (Eve Duncan #20),11.84,1,0.084,2026-04-17
Mystery,Boar Island (Anna Pigeon #19),59.48,3,0.05,2026-04-17
Mystery,The Widow,27.26,2,0.073,2026-04-17
Mystery,Playing with Fire,13.71,3,0.219,2026-04-17
Mystery,What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,5,0.197,2026-04-17
Mystery,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,5,0.096,2026-04-17
Mystery,Delivering the Truth (Quaker Midwife Mystery #1),20.89,4,0.191,2026-04-17
Mystery,The Mysterious Affair at Styles (Hercule Poirot #1),24.8,4,0.161,2026-04-17
Mystery,In the Woods (Dublin Murder Squad #1),38.38,2,0.052,2026-04-17
Mystery,The Silkworm (Cormoran Strike #2),23.05,5,0.217,2026-04-17
Mystery,The Exiled,43.45,3,0.069,2026-04-17
Mystery,The Cuckoo's Calling (Cormoran Strike #1),19.21,1,0.052,2026-04-17
Mystery,Extreme Prey (Lucas Davenport #26),25.4,3,0.118,2026-04-17
Mystery,Career of Evil (Cormoran Strike #3),24.72,2,0.081,2026-04-17
Mystery,The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,4,0.069,2026-04-17
Mystery,The Girl You Lost,12.29,5,0.407,2026-04-17
Mystery,The Girl In The Ice (DCI Erika Foster #1),15.85,3,0.189,2026-04-17
Mystery,Blood Defense (Samantha Brinkman #1),20.3,3,0.148,2026-04-17
Mystery,1st to Die (Women's Murder Club #1),53.98,1,0.019,2026-04-17
Historical Fiction,Tipping the Velvet,53.74,1,0.019,2026-04-17
Historical Fiction,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,3,0.101,2026-04-17
Historical Fiction,A Flight of Arrows (The Pathfinders #2),55.53,5,0.09,2026-04-17
Historical Fiction,The House by the Lake,36.95,1,0.027,2026-04-17
Historical Fiction,Mrs. Houdini,30.25,5,0.165,2026-04-17
Historical Fiction,The Marriage of Opposites,28.08,4,0.142,2026-04-17
Historical Fiction,Glory over Everything: Beyond The Kitchen House,45.84,3,0.065,2026-04-17
Historical Fiction,"Love, Lies and Spies",20.55,2,0.097,2026-04-17
Historical Fiction,A Paris Apartment,39.01,4,0.103,2026-04-17
Historical Fiction,Lilac Girls,17.28,2,0.116,2026-04-17
Historical Fiction,The Constant Princess (The Tudor Court #1),16.62,3,0.181,2026-04-17
Historical Fiction,The Invention of Wings,37.34,1,0.027,2026-04-17
Historical Fiction,World Without End (The Pillars of the Earth #2),32.97,4,0.121,2026-04-17
Historical Fiction,The Passion of Dolssa,28.32,5,0.177,2026-04-17
Historical Fiction,Girl With a Pearl Earring,26.77,1,0.037,2026-04-17
Historical Fiction,Voyager (Outlander #3),21.07,5,0.237,2026-04-17
Historical Fiction,The Red Tent,35.66,5,0.14,2026-04-17
Historical Fiction,The Last Painting of Sara de Vos,55.55,2,0.036,2026-04-17
Historical Fiction,The Guernsey Literary and Potato Peel Pie Society,49.53,1,0.02,2026-04-17
Historical Fiction,Girl in the Blue Coat,46.83,2,0.043,2026-04-17
Historical Fiction,Between Shades of Gray,20.79,5,0.241,2026-04-17
Historical Fiction,While You Were Mine,41.32,5,0.121,2026-04-17
Historical Fiction,The Secret Healer,34.56,3,0.087,2026-04-17
Historical Fiction,Starlark,25.83,3,0.116,2026-04-17
Historical Fiction,Lost Among the Living,27.7,4,0.144,2026-04-17
Historical Fiction,A Spy's Devotion (The Regency Spies of London #1),16.97,5,0.295,2026-04-17
Sequential Art,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,0.096,2026-04-17
Sequential Art,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,1,0.061,2026-04-17
Sequential Art,This One Summer,19.49,4,0.205,2026-04-17
Sequential Art,The Nameless City (The Nameless City #1),38.16,4,0.105,2026-04-17
Sequential Art,"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,2,0.039,2026-04-17
Sequential Art,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,3,0.06,2026-04-17
Sequential Art,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,5,0.367,2026-04-17
Sequential Art,"Pop Gun War, Volume 1: Gift",18.97,1,0.053,2026-04-17
Sequential Art,Patience,10.16,3,0.295,2026-04-17
Sequential Art,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,4,0.259,2026-04-17
Sequential Art,orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,1,0.021,2026-04-17
Sequential Art,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,2,0.043,2026-04-17
Sequential Art,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,3,0.066,2026-04-17
Sequential Art,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,2,0.1,2026-04-17
Sequential Art,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,2,0.069,2026-04-17
Sequential Art,I am a Hero Omnibus Volume 1,54.63,3,0.055,2026-04-17
Sequential Art,"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,2,0.09,2026-04-17
Sequential Art,Danganronpa Volume 1,51.99,4,0.077,2026-04-17
Sequential Art,"Codename Baboushka, Volume 1: The Conclave of Death",36.72,4,0.109,2026-04-17
Sequential Art,Camp Midnight,17.08,4,0.234,2026-04-17
Sequential Art,"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,2,0.053,2026-04-17
Sequential Art,The Shadow Hero (The Shadow Hero),33.14,1,0.03,2026-04-17
Sequential Art,"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,4,0.096,2026-04-17
Sequential Art,Batman: The Long Halloween (Batman),36.5,2,0.055,2026-04-17
Sequential Art,Batman: The Dark Knight Returns (Batman),15.38,5,0.325,2026-04-17
Sequential Art,"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",37.34,4,0.107,2026-04-17
Sequential Art,"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",53.9,1,0.019,2026-04-17
Sequential Art,Through the Woods,25.38,2,0.079,2026-04-17
Sequential Art,Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,5,0.421,2026-04-17
Sequential Art,"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",35.43,4,0.113,2026-04-17
Sequential Art,Robin War,47.82,3,0.063,2026-04-17
Sequential Art,"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",25.48,2,0.078,2026-04-17
Sequential Art,"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",38.39,2,0.052,2026-04-17
Sequential Art,Lowriders to the Center of the Earth (Lowriders in Space #2),51.51,2,0.039,2026-04-17
Sequential Art,El Deafo,57.62,5,0.087,2026-04-17
Sequential Art,Batman: Europa,32.01,2,0.062,2026-04-17
Sequential Art,Art Ops Vol. 1,48.8,3,0.061,2026-04-17
Sequential Art,"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",10.9,2,0.183,2026-04-17
Sequential Art,"Fruits Basket, Vol. 9 (Fruits Basket #9)",33.95,4,0.118,2026-04-17
Sequential Art,Roller Girl,14.1,5,0.355,2026-04-17
Sequential Art,"Fruits Basket, Vol. 7 (Fruits Basket #7)",19.57,1,0.051,2026-04-17
Sequential Art,"Fruits Basket, Vol. 6 (Fruits Basket #6)",20.96,4,0.191,2026-04-17
Sequential Art,"Death Note, Vol. 6: Give-and-Take (Death Note #6)",36.39,3,0.082,2026-04-17
Sequential Art,"Fruits Basket, Vol. 5 (Fruits Basket #5)",16.33,1,0.061,2026-04-17
Sequential Art,"Death Note, Vol. 5: Whiteout (Death Note #5)",52.41,1,0.019,2026-04-17
Sequential Art,"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",27.88,2,0.072,2026-04-17
Sequential Art,"Fruits Basket, Vol. 4 (Fruits Basket #4)",50.44,4,0.079,2026-04-17
Sequential Art,"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",14.41,3,0.208,2026-04-17
Sequential Art,"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",55.55,5,0.09,2026-04-17
Sequential Art,"Saga, Volume 3 (Saga (Collected Editions) #3)",21.57,5,0.232,2026-04-17
Sequential Art,Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),43.63,3,0.069,2026-04-17
Sequential Art,Persepolis: The Story of a Childhood (Persepolis #1-2),39.13,1,0.026,2026-04-17
Sequential Art,Original Fake,31.45,3,0.095,2026-04-17
Sequential Art,"Grayson, Vol 3: Nemesis (Grayson #3)",42.72,1,0.023,2026-04-17
Sequential Art,"Fruits Basket, Vol. 3 (Fruits Basket #3)",45.17,2,0.044,2026-04-17
Sequential Art,"Black Butler, Vol. 1 (Black Butler #1)",49.31,1,0.02,2026-04-17
Sequential Art,Awkward,38.02,2,0.053,2026-04-17
Sequential Art,"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",54.81,1,0.018,2026-04-17
Sequential Art,"Saga, Volume 2 (Saga (Collected Editions) #2)",11.75,3,0.255,2026-04-17
Sequential Art,"Fruits Basket, Vol. 2 (Fruits Basket #2)",11.64,5,0.43,2026-04-17
Sequential Art,"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",18.51,4,0.216,2026-04-17
Sequential Art,"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",36.52,2,0.055,2026-04-17
Sequential Art,"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",54.12,3,0.055,2026-04-17
Sequential Art,The Complete Maus (Maus #1-2),10.64,3,0.282,2026-04-17
Sequential Art,"Skip Beat!, Vol. 01 (Skip Beat! #1)",42.12,3,0.071,2026-04-17
Sequential Art,"Saga, Volume 1 (Saga (Collected Editions) #1)",28.48,1,0.035,2026-04-17
Sequential Art,"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",46.96,5,0.106,2026-04-17
Sequential Art,"Paper Girls, Vol. 1 (Paper Girls #1-5)",21.71,4,0.184,2026-04-17
Sequential Art,"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",29.87,3,0.1,2026-04-17
Sequential Art,"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",39.39,4,0.102,2026-04-17
Sequential Art,"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",45.24,3,0.066,2026-04-17
Sequential Art,"Giant Days, Vol. 1 (Giant Days #1-4)",56.76,4,0.07,2026-04-17
Sequential Art,"Fruits Basket, Vol. 1 (Fruits Basket #1)",40.28,5,0.124,2026-04-17
Sequential Art,"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",34.65,5,0.144,2026-04-17
Sequential Art,"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",57.06,4,0.07,2026-04-17
Classics,The Secret Garden,15.08,4,0.265,2026-04-17
Classics,The Metamorphosis,28.58,1,0.035,2026-04-17
Classics,The Pilgrim's Progress,50.26,2,0.04,2026-04-17
Classics,The Hound of the Baskervilles (Sherlock Holmes #5),14.82,2,0.135,2026-04-17
Classics,Little Women (Little Women #1),28.07,4,0.143,2026-04-17
Classics,Gone with the Wind,32.49,3,0.092,2026-04-17
Classics,Candide,58.63,3,0.051,2026-04-17
Classics,Animal Farm,57.22,3,0.052,2026-04-17
Classics,Wuthering Heights,17.73,3,0.169,2026-04-17
Classics,The Picture of Dorian Gray,29.7,2,0.067,2026-04-17
Classics,The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),26.78,4,0.149,2026-04-17
Classics,Beowulf,38.35,2,0.052,2026-04-17
Classics,And Then There Were None,35.01,2,0.057,2026-04-17
Classics,The Story of Hong Gildong,43.19,4,0.093,2026-04-17
Classics,The Little Prince,45.42,2,0.044,2026-04-17
Classics,Sense and Sensibility,37.46,1,0.027,2026-04-17
Classics,Of Mice and Men,47.11,2,0.042,2026-04-17
Classics,Emma,32.93,2,0.061,2026-04-17
Classics,Alice in Wonderland (Alice's Adventures in Wonderland #1),55.53,1,0.018,2026-04-17
