Year,Winner,Runner-up,Margin,Final Venue,Win_Percentage
2025,RCB,PBKS,6 runs,Ahmedabad,64.20%
2024,KKR,SRH,8 wickets,Chennai,71.40%
2023,CSK,GT,5 wickets (DLS),Ahmedabad,64.30%
2022,GT,RR,7 wickets,Ahmedabad,71.40%
2021,CSK,KKR,27 runs,Dubai,64.30%
2020,MI,DC,5 wickets,Dubai,64.30%
2019,MI,CSK,1 run,Hyderabad,64.30%
2018,CSK,SRH,8 wickets,Mumbai,64.30%
2017,MI,RPS,1 run,Hyderabad,71.40%
2016,SRH,RCB,8 runs,Bengaluru,56.30%
2015,MI,CSK,41 runs,Kolkata,57.10%
2014,KKR,KXIP,3 wickets,Bengaluru,64.30%
2013,MI,CSK,23 runs,Kolkata,68.80%
2012,KKR,CSK,5 wickets,Chennai,62.50%
2011,CSK,RCB,58 runs,Chennai,64.30%
2010,CSK,MI,22 runs,Mumbai,57.10%
2009,DC,RCB,6 runs,Johannesburg,50.00%
2008,RR,CSK,3 wickets,Mumbai,78.60%
