State,District,total_population,population_male,population_female,Population,Male,Female
Andaman Nicobar,Nicobar,,,,,,
Andaman Nicobar,North Middle Andaman,,,,,,
Andaman Nicobar,South Andaman,,,,238142.0,127283.0,110859.0
Andhra Pradesh,Alluri Sitarama Raju,18171615.0,9192368.0,8979247.0,,,
Andhra Pradesh,Anakapalli,18171615.0,9192368.0,8979247.0,,,
Andhra Pradesh,Anantapur,18171615.0,9192368.0,8979247.0,4081148.0,2064495.0,2016653.0
Andhra Pradesh,Annamaya,18171615.0,9192368.0,8979247.0,,,
Andhra Pradesh,Bapatla,18171615.0,9192368.0,8979247.0,,,
Andhra Pradesh,Chittoor,18171615.0,9192368.0,8979247.0,4174064.0,2090204.0,2083860.0
Andhra Pradesh,East Godavari,18171615.0,9192368.0,8979247.0,5154296.0,2569688.0,2584608.0
Andhra Pradesh,Eluru,18171615.0,9192368.0,8979247.0,,,
Andhra Pradesh,Guntur,18171615.0,9192368.0,8979247.0,4887813.0,2440521.0,2447292.0
Andhra Pradesh,Kadapa,18171615.0,9192368.0,8979247.0,,,
Andhra Pradesh,Kakinada,18171615.0,9192368.0,8979247.0,,,
Andhra Pradesh,Konaseema,18171615.0,9192368.0,8979247.0,,,
Andhra Pradesh,Krishna,18171615.0,9192368.0,8979247.0,4517398.0,2267375.0,2250023.0
Andhra Pradesh,Kurnool,18171615.0,9192368.0,8979247.0,4053463.0,2039227.0,2014236.0
Andhra Pradesh,Manyam,18171615.0,9192368.0,8979247.0,,,
Andhra Pradesh,N T Rama Rao,18171615.0,9192368.0,8979247.0,,,
Andhra Pradesh,Nandyal,18171615.0,9192368.0,8979247.0,,,
Andhra Pradesh,Nellore,18171615.0,9192368.0,8979247.0,,,
Andhra Pradesh,Palnadu,18171615.0,9192368.0,8979247.0,,,
Andhra Pradesh,Prakasam,18171615.0,9192368.0,8979247.0,3397448.0,1714764.0,1682684.0
Andhra Pradesh,Sri Balaji,18171615.0,9192368.0,8979247.0,,,
Andhra Pradesh,Sri Satya Sai,18171615.0,9192368.0,8979247.0,,,
Andhra Pradesh,Srikakulam,18171615.0,9192368.0,8979247.0,2703114.0,1341738.0,1361376.0
Andhra Pradesh,Visakhapatnam,18171615.0,9192368.0,8979247.0,4290589.0,2138910.0,2151679.0
Andhra Pradesh,Vizianagaram,18171615.0,9192368.0,8979247.0,2344474.0,1161477.0,1182997.0
Andhra Pradesh,West Godavari,18171615.0,9192368.0,8979247.0,3936966.0,1964918.0,1972048.0
Arunachal Pradesh,Anjaw,1579000.0,771000.0,808000.0,21167.0,11507.0,9660.0
Arunachal Pradesh,Bichom,1579000.0,771000.0,808000.0,,,
Arunachal Pradesh,Changlang,1579000.0,771000.0,808000.0,148226.0,76948.0,71278.0
Arunachal Pradesh,Dibang Valley,1579000.0,771000.0,808000.0,8004.0,4414.0,3590.0
Arunachal Pradesh,East Kameng,1579000.0,771000.0,808000.0,78690.0,38775.0,39915.0
Arunachal Pradesh,East Siang,1579000.0,771000.0,808000.0,99214.0,50116.0,49098.0
Arunachal Pradesh,Kamle,1579000.0,771000.0,808000.0,,,
Arunachal Pradesh,Keyi Panyor,1579000.0,771000.0,808000.0,,,
Arunachal Pradesh,Kra Daadi,1579000.0,771000.0,808000.0,,,
Arunachal Pradesh,Kurung Kumey,1579000.0,771000.0,808000.0,92076.0,45318.0,46758.0
Arunachal Pradesh,Lepa Rada,1579000.0,771000.0,808000.0,,,
Arunachal Pradesh,Lohit,1579000.0,771000.0,808000.0,145726.0,76221.0,69505.0
Arunachal Pradesh,Longding,1579000.0,771000.0,808000.0,,,
Arunachal Pradesh,Lower Dibang Valley,1579000.0,771000.0,808000.0,54080.0,28053.0,26027.0
